Age,Height,Weight,Score,Income,HoursSleep,Stress,Exercise,Grade,Attendance,Gender,PassFail
54.0,47.8,48,4,30,24.9,103.1,76.1,8,3,M,Fail
48.9,47.8,18,6,68,41.0,103.8,112.1,8,2,F,Pass
55.2,54.2,21,7,49,75.6,116.5,103.3,8,2,M,Pass
62.2,34.8,9,2,56,22.9,102.1,104.5,9,1,F,Fail
48.1,36.5,14,5,66,7.7,96.3,113.4,9,4,M,Pass
48.1,46.9,21,5,69,29.0,108.1,106.0,9,2,F,Pass
62.6,42.9,10,6,49,16.1,96.9,110.6,10,4,M,Pass
56.1,54.8,25,4,21,93.0,95.6,83.7,10,2,F,Fail
46.2,43.8,14,6,47,80.8,115.3,96.7,10,4,M,Pass
54.3,39.3,17,6,54,63.3,96.5,124.8,8,3,F,Pass
